series_id,year,period,value,footnote_codes.x,date,area_code,item_code,seasonal,periodicity_code,base_code,base_period,footnote_codes.y,begin_year,begin_period,end_year,end_period,item_name
MUSR0000SA0L1,1952,M08,26,NA,1952-08-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1952,M09,26,NA,1952-09-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1952,M10,26,NA,1952-10-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1952,M11,26.1,NA,1952-11-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1952,M12,26.1,NA,1952-12-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1953,M01,26.1,NA,1953-01-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1953,M02,26.1,NA,1953-02-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1953,M03,26.2,NA,1953-03-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1953,M04,26.3,NA,1953-04-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1953,M05,26.4,NA,1953-05-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1953,M06,26.4,NA,1953-06-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1953,M07,26.4,NA,1953-07-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1953,M08,26.5,NA,1953-08-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1953,M09,26.5,NA,1953-09-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1953,M10,26.6,NA,1953-10-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1953,M11,26.6,NA,1953-11-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1953,M12,26.5,NA,1953-12-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1954,M01,26.6,NA,1954-01-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1954,M02,26.6,NA,1954-02-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1954,M03,26.5,NA,1954-03-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1954,M04,26.6,NA,1954-04-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1954,M05,26.6,NA,1954-05-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1954,M06,26.6,NA,1954-06-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1954,M07,26.6,NA,1954-07-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1954,M08,26.6,NA,1954-08-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1954,M09,26.5,NA,1954-09-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1954,M10,26.5,NA,1954-10-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1954,M11,26.5,NA,1954-11-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1954,M12,26.5,NA,1954-12-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1955,M01,26.5,NA,1955-01-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1955,M02,26.5,NA,1955-02-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1955,M03,26.5,NA,1955-03-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1955,M04,26.5,NA,1955-04-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1955,M05,26.6,NA,1955-05-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1955,M06,26.6,NA,1955-06-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1955,M07,26.6,NA,1955-07-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1955,M08,26.6,NA,1955-08-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1955,M09,26.7,NA,1955-09-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1955,M10,26.7,NA,1955-10-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1955,M11,26.8,NA,1955-11-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1955,M12,26.8,NA,1955-12-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1956,M01,26.7,NA,1956-01-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1956,M02,26.8,NA,1956-02-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1956,M03,26.8,NA,1956-03-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1956,M04,26.9,NA,1956-04-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1956,M05,27,NA,1956-05-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1956,M06,27,NA,1956-06-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1956,M07,27.1,NA,1956-07-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1956,M08,27.2,NA,1956-08-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1956,M09,27.2,NA,1956-09-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1956,M10,27.4,NA,1956-10-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1956,M11,27.4,NA,1956-11-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1956,M12,27.5,NA,1956-12-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1957,M01,27.6,NA,1957-01-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1957,M02,27.7,NA,1957-02-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1957,M03,27.8,NA,1957-03-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1957,M04,27.9,NA,1957-04-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1957,M05,28,NA,1957-05-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1957,M06,28,NA,1957-06-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1957,M07,28.1,NA,1957-07-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1957,M08,28.1,NA,1957-08-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1957,M09,28.1,NA,1957-09-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
