item_name,year,total_increase,jan,percent_jan
Cereals and bakery products,2015,0.009753654438663717,0.010915070112882619,1.1190749253546468
Cereals and bakery products,2016,-0.006818410248612294,0.004885725264872187,-0.7165490322126842
Cereals and bakery products,2017,-0.005588393521961166,0.0057043047602203245,-1.020741423774767
Cereals and bakery products,2018,0.016553873014017784,0.008990279677002277,0.5430922219464489
Cereals and bakery products,2019,0.0026637437147437604,0.002657470627476455,0.9976450109548511
Cereals and bakery products,2020,0.03156028733792238,0.003199581145740815,0.10137997514034816
Cereals and bakery products,2021,0.04682116527683411,-0.0029041182793804188,-0.062025758269995485
Cereals and bakery products,2022,0.15006799394264392,0.01669475475899751,0.1112479371542626
Cereals and bakery products,2023,0.02538789859360535,0.012361279776482492,0.4868965318616809
Communication,1998,-0.02930695454717125,-0.0040000000000000036,0.13648637539467878
